kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
line,Spontaneous curvature,visible curve connection,115.0,visible path,1117.37,198.53,,none,,raster_supported_connection,1138.574,170.301,#fb8177,2
point,Spontaneous curvature,visible curve marker,120.0,3.607961,1159.778,142.489,7,#fb8177,0.7008,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,117.5,visible path,1138.574,170.301,,none,,raster_supported_connection,1159.778,142.489,#fb8177,2
point,Spontaneous curvature,visible curve marker,122.5,3.586797,1180.981,158.468,7,#fb8177,0.7025,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,120.0,visible path,1159.778,142.489,,none,,raster_supported_connection,1180.981,158.468,#fb8177,2
point,Spontaneous curvature,visible curve marker,125.0,3.556641,1202.185,181.236,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,122.5,visible path,1180.981,158.468,,none,,raster_supported_connection,1202.185,181.236,#fb8177,2
point,Spontaneous curvature,visible curve marker,127.5,3.518472,1223.389,210.053,7,#fb8177,0.7014,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,125.0,visible path,1202.185,181.236,,none,,raster_supported_connection,1223.389,210.053,#fb8177,2
point,Spontaneous curvature,visible curve marker,130.0,3.494678,1244.593,228.018,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,127.5,visible path,1223.389,210.053,,none,,raster_supported_connection,1244.593,228.018,#fb8177,2
point,Spontaneous curvature,visible curve marker,132.5,3.468284,1265.796,247.946,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,130.0,visible path,1244.593,228.018,,none,,raster_supported_connection,1265.796,247.946,#fb8177,2
point,Spontaneous curvature,visible curve marker,135.0,3.444072,1287.0,266.226,7,#fb8177,0.7,calibrated_raster_trace,,,,
line,Spontaneous curvature,visible curve connection,132.5,visible path,1265.796,247.946,,none,,raster_supported_connection,1287.0,266.226,#fb8177,2
point,Surface reconstruction,visible curve marker,2.5,3.408384,163.204,632.441,7,#2ba3ca,0.7013,calibrated_raster_trace,,,,
point,Surface reconstruction,visible curve marker,5.0,3.388941,184.407,647.072,7,#2ba3ca,0.7463,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,2.5,visible path,163.204,632.441,,none,,raster_supported_connection,184.407,647.072,#2ba3ca,2
point,Surface reconstruction,visible curve marker,7.5,3.370756,205.611,660.756,7,#2ba3ca,0.7578,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,5.0,visible path,184.407,647.072,,none,,raster_supported_connection,205.611,660.756,#2ba3ca,2
point,Surface reconstruction,visible curve marker,10.0,3.490879,226.815,570.364,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
